Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Control-Flow Instructions,Bit-Convert Instructions,Misc Instructions,Load/Store Instructions,FP Instructions(Single),Integer Instructions,FP Instructions(Double),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Instructions Executed,Instructions Issued,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Local Memory Cache Replay Overhead,Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Local Memory Overhead(%),Issued IPC,Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Instructions per warp,Issue Slot Utilization(%),Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,Executed Control-Flow Instructions,Issued Control-Flow Instructions,System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),Floating Point Operations(Double Precision),L2 Throughput (L1 Writes)(bytes/sec),L2 Transactions (Atomic requests),Floating Point Operations(Double Precision Add),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Executed Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precison FMA),Atomic Transactions Per Request,Atomic Transactions,Atomic Replay Overhead,Inter-Thread Instructions,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),FLOP Efficiency(Peak Double)(%),Issue Stall Reasons (Not Selected)(%),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Executed IPC,Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Global Memory Cache Replay Overhead
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",306159366,3981886,20,1,1,512,1,1,13,0,0,,,0,100,613.326,0.282,99.514,81.365,50684759,0,101500478,50724519,0,176448696,44077054,0,0.896,0,0,0,17644695,25082870,Low (1),Idle,0,0,20067319,0,Low (1),3.022,Low (1),Low (2),Low (2),Low (1),Low (1),0,48599978,8480898,15788237951,38867545,,0.928,0,0,99.275,0,12432235284,0,0,1.028,1.997,64118.594,18.571,0,0,1510240,1250,0,5,0,0,0,0,0,0,0,5006,1498362,6252,1091,0,4096013,4519154,38867,0,38914186,11647530635,0,0,38867545,0,0,0,5000,0,0,0,1599308,0,2946484,1472616,0,8.89,42.085,42.522,0,1.87,0,0,0,0,0,0,1899,0.365,14761893,0,0.019,0.32,0,0.907,0,71.925,0,96833335722,38867545,0.671,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",310144612,932031,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,37.64,0.404,99.843,96.744,3382380,8430000,11515060,5070940,810000,30965415,12910204,0,3.19,0,0,0,2411799,6854693,Low (1),Idle,0,0,6433999,0,Low (3),0.673,Low (1),Mid (6),Low (1),Mid (4),Low (1),0,39549554508,35569644638,58724414324,24425332828,0.091,0.982,0,0,79.318,0,58714025250,1,1,10.685,28.445,7536.872,23.042,0,1.003,1411379,695021,0,5,0,631,5780,3520,1590697994,1100829,0,951901,1699140,1149666,1033974,0,254985,261939,172004,0,32746258901,58451959131,968729574,19000216,24511335099,0,2970220,0,712520,0,0,0,1706758,0,3656052,166453,0,4.991,8.484,28.185,790000,1.542,3770000,6129998,0,0,0,0,1013054,8.605,34849977639,0,0.115,38.208,1.759,9.196,0,82.736,0,22113333792,3655268499,0.348,1.842,0,0.823,0
"sum_kernel(double*, int)",311079907,6208,20,1,1,512,1,1,18,0,0,,,0,25,25,0.3,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.7,0,0,0,2976,4745,Low (1),Idle,0,0,3686,0,Low (1),0.918,Low (1),Low (1),Low (1),Low (1),Low (1),0,15267175,225190839,76335877,3816793,0,0.316,0,0,85,0,76335877,0,0,1,1,9.3,6.144,0,0,20,1,0,5,0,0,0,0,0,0,0,11,244,4,59,0,329,329,19083969,0,41984732,931297709,0,21,3816793,0,20,0,1,0,0,0,20,0,52,21,0,0,11.712,0.63,0,40.37,1,0,0,0,0,0,18,3.789,68702290,0,39.837,0.026,0,2.718,0,15.384,0,19083969,954198,0.198,0.594,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",311089379,3182174,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,35.973,75247,20003,344818,70083,20003,401428,180019,0,0.093,0,0,0,101954,162903,Low (1),Idle,0,0,131937,0,Low (1),0.033,Low (1),Low (1),Low (1),Low (1),Low (1),0,111556552,12580508,126016098,150745036,0,0.071,0,0,92.393,0,126016098,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,5,0,0,626,640,50322033,0,0,15013,16773,11102,1252,0,12595,12919,50241,0,150855568,168540627,51447446,320025,150745036,0,19999,0,15002,0,0,0,12541,0,44802,22848,0,92.033,2.099,3.583,20002,1.279,20002,140012,0,0,0,0,3802,0.098,38203748,0,0.409,0.247,0.009,0.218,0,7.838,0,50343385,75366238,0.044,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",314274785,3901694,20,1,1,512,1,1,13,0,0,,,0,100,744.147,0.298,99.403,81.344,47483301,0,95097562,47523061,0,205962940,51455615,0,0.93,0,0,0,17919079,23770406,Low (1),Idle,0,0,19017354,0,Low (1),3.304,Low (1),Low (2),Low (2),Low (1),Low (1),0,48844882,9008021,13662074681,39063406,,0.948,0,0,100,0,12047779428,0,0,0.889,1.997,57121.7,18.963,0,0,1527181,1250,0,3,0,0,0,0,0,0,0,5008,1656986,6252,1153,0,4841285,5224878,23438,0,39125907,12945503374,0,0,39063406,0,0,0,5000,0,0,0,1542080,0,3341586,1670167,0,8.64,39.256,45.398,0,1.727,0,0,0,0,0,0,1431,0.424,11179946,0,0.017,0.334,0,0.9,0,67.125,0,101665973209,39063406,0.659,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",318179775,922207,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,37.38,0.404,99.843,96.759,3382380,8430000,11515060,5070940,810000,30976405,12910221,0,3.266,0,0,0,2411799,6881440,Low (1),Idle,0,0,6461375,0,Low (3),0.66,Low (1),Mid (6),Low (1),Mid (4),Low (1),0,38323156158,33909482613,57888443801,23900764129,,0.995,0,0,80.254,0,57764028680,1,1,10.87,28.445,7536.872,23.361,0,1,1435799,695021,0,1,0,636,5780,3520,1556535496,538593,0,951767,1707873,1138466,1007349,0,254985,261788,33662,0,32038475780,57490591443,947924731,19000226,23984919379,0,2970220,0,712520,0,0,0,1715996,0,3646877,166453,0,5.013,8.438,28.254,790000,1.538,3770000,6130003,0,0,0,0,981066,8.605,33024741643,0,0.132,38.05,1.76,9.31,0,81.97,0,21638418554,3576766418,0.35,1.853,0,0.819,0
"sum_kernel(double*, int)",319105278,5888,20,1,1,512,1,1,18,0,0,,,0,25,25,0.301,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.705,0,0,0,2976,4769,Low (1),Idle,0,0,3704,0,Low (1),0.923,Low (1),Low (1),Low (1),Low (1),Low (1),0,15151515,215909090,75757575,3787878,0,0.319,0,0,80,0,75757575,0,0,1,1,9.3,6.188,0,0,20,1,0,1,0,0,0,0,0,0,0,7,240,4,57,0,329,329,3787878,0,26515151,909090909,0,21,3787878,0,20,0,1,0,0,0,20,0,54,21,0,0,11.765,0.637,0,39.722,1,0,0,0,0,0,15,3.909,56818181,0,40.277,0.026,0,2.742,0,15.307,0,18939393,946969,0.2,0.602,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",319114366,3181822,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,35.863,75247,20003,344818,70083,20003,397299,180019,0,0.091,0,0,0,101954,162967,Low (1),Idle,0,0,131976,0,Low (1),0.033,Low (1),Low (1),Low (1),Low (1),Low (1),0,111591138,16498527,126009767,150737463,0,0.071,0,0,92.425,0,126009767,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,1,0,0,626,640,50319505,0,0,15009,13977,11106,1642,0,12595,12891,10047,0,150807797,140438443,51444861,320025,150737463,0,19999,0,15002,0,0,0,12541,0,44817,22848,0,91.986,2.097,3.577,20002,1.34,20002,140012,0,0,0,0,3852,0.099,38704219,0,0.411,0.247,0.009,0.211,0,7.836,0,50340856,75362451,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",322299420,3920702,20,1,1,512,1,1,13,0,0,,,0,100,793.775,0.305,99.248,81.219,45828490,0,91787940,45868250,0,204764480,51156000,0,0.826,0,0,0,19117727,19428947,Low (1),Idle,0,0,15544184,0,Low (1),3.559,Low (1),Low (2),Low (2),Low (1),Low (1),0,51423341,14023799,12910417066,41125512,,0.868,0,0,100,0,11778305726,0,0,1.015,1.997,41642.775,17.366,0,0,1640123,1250,0,5,0,0,0,0,0,0,0,5006,1554297,6252,1705,0,3923621,4832294,41125,0,41174863,12784252218,0,0,41125512,0,0,0,5000,0,0,0,1431995,0,2918788,1458768,0,8.905,35.516,49.099,0,1.563,0,0,0,0,0,0,2186,0.385,17980074,0,0.017,0.329,0,0.627,0,61.23,0,102479645313,41125512,0.676,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",326223450,932831,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,37.449,0.405,99.843,96.75,3382380,8430000,11515060,5070940,810000,30969844,12910224,0,3.235,0,0,0,2411799,6888188,Low (1),Idle,0,0,6467737,0,Low (3),0.664,Low (1),Mid (6),Low (1),Mid (4),Low (1),0,39072211343,34404514067,58967638874,24391768868,,0.988,0,0,81.519,0,58690301968,1,1,10.899,28.445,7536.872,23.19,0,1.008,1439577,695021,0,9,0,637,5780,3520,1588512144,687072,0,956790,1712183,1137353,1001481,0,254985,261897,309182,0,32869215706,58819712116,967398399,19000208,24477652959,0,2970220,0,712520,0,0,0,1708416,0,3682093,166453,0,4.888,8.424,28.177,790000,1.535,3770000,6129994,0,0,0,0,975482,8.484,33511353876,0,0.119,38.432,1.76,9.277,0,82.662,0,22082946854,3650245628,0.352,1.856,0,0.824,0
