Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Control-Flow Instructions,Bit-Convert Instructions,Misc Instructions,Load/Store Instructions,FP Instructions(Single),Integer Instructions,FP Instructions(Double),Atomic Throughput(bytes/sec),Eligible Warps Per Active Cycle,L2 Throughput (Atomic requests)(bytes/sec),Non-Coherent Global Load Efficiency(%),Non-Coherent Global Memory Load Throughput(bytes/sec),Instructions Executed,Instructions Issued,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Non-Coherent Global Hit Rate(%),Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,Local Memory Cache Replay Overhead,Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Local Memory Overhead(%),Issued IPC,Requested Non-Coherent Global Load Throughput(bytes/sec),L2 Hit Rate (Texture Reads)(%),L2 Hit Rate (L1 Reads)(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Shared Memory Load Transactions Per Request,Shared Memory Store Transactions Per Request,Global Load Transactions Per Request,Global Store Transactions Per Request,Instructions per warp,Issue Slot Utilization(%),Local Memory Load Transactions Per Request,Local Memory Store Transactions Per Request,Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,Executed Control-Flow Instructions,Issued Control-Flow Instructions,System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),Floating Point Operations(Double Precision),L2 Throughput (L1 Writes)(bytes/sec),L2 Transactions (Atomic requests),Floating Point Operations(Double Precision Add),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Floating Point Operations(Single Precision),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Executed Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precison FMA),Atomic Transactions Per Request,Atomic Transactions,Atomic Replay Overhead,Inter-Thread Instructions,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),FLOP Efficiency(Peak Single)(%),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),FLOP Efficiency(Peak Double)(%),Issue Stall Reasons (Not Selected)(%),L1 Local Hit Rate(%),Multiprocessor Activity(%),L1 Global Hit Rate(%),Requested Global Load Throughput(bytes/sec),Requested Global Store Throughput(bytes/sec),Executed IPC,Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Global Memory Cache Replay Overhead
"sum_kernel(double*, int)",2052062193,6176,20,1,1,512,1,1,18,0,0,,,0,25,25,0.296,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.706,0,0,0,2976,4742,Low (1),Idle,0,0,3682,0,Low (1),0.924,Low (1),Low (1),Low (1),Low (1),Low (1),0,15686274,215686274,78431372,3921568,0,0.319,0,0,90,0,78431372,0,0,1,1,9.3,6.194,0,0,20,1,0,5,0,0,0,0,0,0,0,4,264,4,55,0,329,329,19607843,0,15686274,1035294117,0,21,3921568,0,20,0,1,0,0,0,20,0,54,21,0,0,11.783,0.54,0,40.103,1,0,0,0,0,0,15,3.399,58823529,0,40.486,0.027,0,2.74,0,15.535,0,19607843,980392,0.201,0.593,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2052071825,3182590,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162917,Low (1),Idle,0,0,131942,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111838862,27658317,125994535,150719243,0,0.071,0,0,92.457,0,125994535,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,5,0,0,626,640,50313422,0,0,15006,13661,11132,2753,0,12595,12933,50233,0,150759429,137246739,51438643,320025,150719243,0,19999,0,15002,0,0,0,12541,0,44810,22848,0,92.034,2.099,3.58,20002,1.284,20002,140012,0,0,0,0,4413,0.098,44335689,0,0.411,0.247,0.009,0.215,0,7.842,0,50334771,75353342,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2055257743,4103357,20,1,1,512,1,1,13,0,0,,,0,100,791.674,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17308469,23604235,Low (1),Idle,0,0,18884408,0,Low (1),3.239,Low (1),Low (2),Low (2),Low (1),Low (1),0,48629464,52129665,12289891539,38891126,,0.915,0,0,99.684,0,12289564854,0,0,1.001,1.997,54090.959,18.307,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5009,1581488,6252,6702,0,4718768,4719751,38891,0,38961130,12301169966,0,0,38891126,0,0,0,5000,0,0,0,1579996,0,3150170,1574232,0,9.252,39.065,45.103,0,1.718,0,0,0,0,0,0,2288,0.42,17796579,0,0.018,0.336,0,0.849,0,68.449,0,97295875668,38891126,0.671,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2059364364,763584,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575184,12910217,0,2.464,0,0,0,2411799,6115864,Low (1),Idle,0,0,5695494,0,Low (2),0.714,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48083951495,41149553750,47099297198,29930826433,0.137,1.04,0,0,72.881,0,47099297198,1,1,6.401,28.445,7536.872,24.223,0,1.011,845417,695021,0,5,0,626,5780,3520,1949242858,1180337,0,959113,1118680,1140649,976151,0,254985,262944,210774,0,40431318460,47157850363,1187082155,19000336,30036213699,0,2970220,0,712520,0,0,0,1117291,0,2980269,166453,0,5.415,10.145,36.208,790000,1.855,3770000,6130058,0,0,0,0,955184,5.871,40265691834,0,0.154,33.508,2.182,6.129,0,86.408,0,27097700581,4479169548,0.405,1.536,0,0.574,0
"sum_kernel(double*, int)",2060131180,5984,20,1,1,512,1,1,18,0,0,,,0,25,25,0.307,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.716,0,0,0,2976,4789,Low (1),Idle,0,0,3717,0,Low (1),0.922,Low (1),Low (1),Low (1),Low (1),Low (1),0,15151515,208333333,75757575,3787878,0,0.322,0,0,90,0,75757575,0,0,1,1,9.3,6.244,0,0,20,1,0,5,0,0,0,0,0,0,0,16,236,4,55,0,329,329,18939393,0,60606060,893939393,0,21,3787878,0,20,0,1,0,0,0,20,0,54,21,0,0,11.72,0.655,0,39.512,1,0,0,0,0,0,15,3.826,56818181,0,40.564,0.026,0,2.774,0,15.577,0,18939393,946969,0.201,0.609,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2060140396,3182046,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162903,Low (1),Idle,0,0,131952,0,Low (1),0.033,Low (1),Low (1),Low (1),Low (1),Low (1),0,111926055,18227297,126013526,150741959,0,0.071,0,0,92.361,0,126013526,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,5,0,0,626,640,50321006,0,0,15018,12981,11139,1814,0,12595,12905,50240,0,150902729,130434700,51446396,320025,150741959,0,19999,0,15002,0,0,0,12541,0,44817,22848,0,92.091,2.099,3.576,20002,1.224,20002,140012,0,0,0,0,4029,0.1,40483892,0,0.418,0.247,0.009,0.212,0,7.84,0,50342358,75364699,0.044,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2063325706,4104765,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604235,Low (1),Idle,0,0,18884414,0,Low (1),3.241,Low (1),Low (2),Low (2),Low (1),Low (1),0,48639289,62993014,12292047734,38898983,0,0.915,0,0,99.684,0,12292047734,0,0,1.001,1.997,54090.959,18.298,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5011,1580350,6252,8097,0,4718768,4718866,38898,0,38984561,12294801782,0,0,38898983,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.233,39.059,45.112,0,1.718,0,0,0,0,0,0,3111,0.43,24202947,0,0.018,0.342,0,0.849,0,68.399,0,97315532510,38898983,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2067433831,762400,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575159,12910221,0,2.429,0,0,0,2411799,6109131,Low (1),Idle,0,0,5688619,0,Low (2),0.711,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48477388426,41834040386,47399287290,30121330391,0.136,1.026,0,0,72.833,0,47399075173,1,1,6.401,28.445,7536.872,23.888,0,1,845417,695021,0,5,0,630,5780,3520,1961649414,1018157,0,956636,1118373,1142709,986112,0,254985,262882,212116,0,40583573731,47444977091,1194637705,19000214,30227388426,0,2970220,0,712520,0,0,0,1117291,0,2935586,166453,0,5.595,10.105,35.268,790000,1.847,3770000,6129997,0,0,0,0,969863,6.538,41144705582,0,0.142,33.697,2.171,6.097,0,87.07,0,27270172238,4507678601,0.411,1.533,0,0.574,0
"sum_kernel(double*, int)",2068199591,6112,20,1,1,512,1,1,18,0,0,,,0,25,25,0.303,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.705,0,0,0,2976,4752,Low (1),Idle,0,0,3696,0,Low (1),0.892,Low (1),Low (1),Low (1),Low (1),Low (1),0,15209125,209125475,76045627,3802281,0,0.32,0,0,90,0,76045627,0,0,1,1,9.3,6.221,0,0,20,1,0,5,0,0,0,0,0,0,0,8,236,4,55,0,329,329,19011406,0,30418250,897338403,0,21,3802281,0,20,0,1,0,0,0,20,0,54,21,0,0,11.375,0.564,0,38.581,1,0,0,0,0,0,15,3.722,57034220,0,42.216,0.026,0,2.626,0,15.502,0,19011406,950570,0.2,0.597,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2068208935,3182078,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,163020,Low (1),Idle,0,0,132003,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111947236,23319829,126003436,150729890,0,0.071,0,0,92.489,0,126003436,1,1,1.03,1.059,318.606,1.441,0,0,10666,11252,0,5,0,0,626,640,50316977,0,0,15010,12985,11142,2321,0,12595,12927,50236,0,150810269,130464446,51442277,320025,150729890,0,19999,0,15002,0,0,0,12541,0,44825,22848,0,91.977,2.097,3.571,20002,1.317,20002,140012,0,0,0,0,4027,0.1,40460556,0,0.446,0.247,0.009,0.212,0,7.837,0,50338327,75358665,0.044,0.599,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2071394245,4102302,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.88,0,0,0,17309107,23604223,Low (1),Idle,0,0,18884403,0,Low (1),3.254,Low (1),Low (2),Low (2),Low (1),Low (1),0,48618107,53361717,12287153615,38882044,,0.914,0,0,99.684,0,12286694807,0,0,1.001,1.997,54090.959,18.289,0,0,1574371,1250,0,6,0,0,0,0,0,0,0,5005,1580214,6252,6862,0,4718768,4719761,46658,0,38920926,12288390064,0,0,38882044,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.241,39.055,45.106,0,1.718,0,0,0,0,0,0,2792,0.427,21711733,0,0.018,0.339,0,0.842,0,68.625,0,97273153649,38882044,0.671,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2075499779,751935,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575191,12910219,0,2.413,0,0,0,2411799,6187940,Low (1),Idle,0,0,5767595,0,Low (2),0.717,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48299756874,42024312541,46834800469,29762743125,0.137,1.016,0,0,72.781,0,46834800469,1,1,6.401,28.445,7536.872,23.665,0,1,845417,695021,0,6,0,626,5780,3520,1938296445,2012072,0,956599,1118371,1152239,1002532,0,254985,262934,251509,0,40098884976,46880072099,1180415828,19000214,29867538564,0,2970220,0,712520,0,0,0,1117291,0,2936408,166453,0,5.751,10.115,35.457,790000,1.849,3770000,6129997,0,0,0,0,981034,6.302,41123155600,0,0.169,33.428,2.114,6.211,0,86.781,0,26945527330,4454015761,0.404,1.566,0,0.574,0
"sum_kernel(double*, int)",2076254946,6144,20,1,1,512,1,1,18,0,0,,,0,25,25,0.304,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.709,0,0,0,2976,4769,Low (1),Idle,0,0,3706,0,Low (1),0.919,Low (1),Low (1),Low (1),Low (1),Low (1),0,15564202,229571984,77821011,3891050,0,0.319,0,0,80,0,77821011,0,0,1,1,9.3,6.191,0,0,20,1,0,6,0,0,0,0,0,0,0,4,236,4,59,0,329,329,23346303,0,15564202,918287937,0,21,3891050,0,20,0,1,0,0,0,20,0,52,21,0,0,11.715,0.578,0,39.254,1,0,0,0,0,0,19,3.806,73929961,0,40.955,0.025,0,2.747,0,15.67,0,19455252,972762,0.198,0.602,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2076264290,3182174,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162910,Low (1),Idle,0,0,131949,0,Low (1),0.033,Low (1),Low (1),Low (1),Low (1),Low (1),0,111078699,18377471,126009767,150737463,0,0.071,0,0,92.457,0,126009767,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,6,0,0,626,640,50319505,0,0,15006,15025,11055,1829,0,12595,12940,60286,0,150777654,150968563,51444861,320025,150737463,0,19999,0,15002,0,0,0,12541,0,44823,22848,0,92.023,2.098,3.577,20002,1.292,20002,140012,0,0,0,0,3948,0.099,39668811,0,0.417,0.247,0.009,0.213,0,7.843,0,50340856,75362451,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2079449792,4102078,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604247,Low (1),Idle,0,0,18884424,0,Low (1),3.259,Low (1),Low (2),Low (2),Low (1),Low (1),0,48648372,60125715,12294343274,38906248,0,0.915,0,0,99.697,0,12294343274,0,0,1.001,1.997,54090.959,18.301,0,0,1574371,1250,0,6,0,0,0,0,0,0,0,5003,1582077,6252,7727,0,4718768,4719758,46687,0,38929591,12310536055,0,0,38906248,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.249,39.036,45.09,0,1.717,0,0,0,0,0,0,3033,0.437,23600530,0,0.018,0.345,0,0.849,0,68.431,0,97333706184,38906248,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2083555262,756927,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575194,12910218,0,2.43,0,0,0,2411799,6141694,Low (1),Idle,0,0,5721455,0,Low (2),0.695,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48112321562,41713039485,46635403623,29636029718,0.137,1.035,0,0,73.305,0,46635612321,1,1,6.401,28.445,7536.872,24.105,0,1.003,845417,695021,0,6,0,630,5780,3520,1930044244,1502629,0,962737,1118695,1152675,999361,0,254985,262738,250438,0,40184364304,46694006177,1175390266,19000218,29740378996,0,2970220,0,712520,0,0,0,1117296,0,2932273,166453,0,5.629,9.955,36.813,790000,1.81,3770000,6129999,0,0,0,0,987140,6.383,41202938475,0,0.15,32.614,2.175,5.951,0,86.956,0,26830808080,4435053009,0.412,1.547,0,0.574,0
"sum_kernel(double*, int)",2084315581,5792,20,1,1,512,1,1,18,0,0,,,0,25,25,0.302,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.713,0,0,0,2976,4747,Low (1),Idle,0,0,3688,0,Low (1),0.921,Low (1),Low (1),Low (1),Low (1),Low (1),0,15209125,209125475,76045627,3802281,0,0.318,0,0,90,0,76045627,0,0,1,1,9.3,6.175,0,0,20,1,0,6,0,0,0,0,0,0,0,4,236,4,55,0,329,329,22813688,0,15209125,897338403,0,21,3802281,0,20,0,1,0,0,0,20,0,54,21,0,0,11.744,0.567,0,39.668,1,0,0,0,0,0,15,3.831,57034220,0,40.461,0.025,0,2.783,0,15.636,0,19011406,950570,0.191,0.595,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2084324797,3182014,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162924,Low (1),Idle,0,0,131955,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111803266,22205915,126011033,150738977,0,0.071,0,0,92.489,0,126011033,1,1,1.03,1.059,318.606,1.44,0,0,10666,11252,0,6,0,0,626,640,50320010,0,0,15006,16005,11127,2210,0,12595,12936,60287,0,150779169,160817047,51445378,320025,150738977,0,19999,0,15002,0,0,0,12541,0,44815,22848,0,91.949,2.098,3.535,20002,1.371,20002,140012,0,0,0,0,4321,0.099,43417085,0,0.459,0.247,0.009,0.212,0,7.837,0,50341362,75363208,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2087510075,4106686,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.88,0,0,0,17309107,23604267,Low (1),Idle,0,0,18884439,0,Low (1),3.262,Low (1),Low (2),Low (2),Low (1),Low (1),0,48646101,54248339,12293769309,38904431,0.006,0.915,0,0,99.693,0,12294524055,0,0,1.001,1.997,54090.959,18.303,0,0,1574371,1250,0,6,0,0,0,0,0,0,0,5009,1583261,6252,6972,0,4718768,4719766,46685,0,38974459,12319173903,0,0,38904431,0,0,0,5000,0,0,0,1580093,0,3149374,1574061,0,9.19,39.084,45.126,0,1.72,0,0,0,0,0,0,2302,0.431,17911600,0,0.018,0.331,0,0.838,0,68.566,0,97329162129,38904431,0.671,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2091619993,765503,20,1,1,512,1,1,42,4096,0,,,17.11,14.965,57.533,0.397,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575173,12910219,0,2.441,0,0,0,2411799,6123420,Low (1),Idle,0,0,5703189,0,Low (2),0.701,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48450270407,41966199087,47206819334,29999154977,0.137,1.033,0,0,72.841,0,47207241845,1,1,6.401,28.445,7536.872,24.053,0,1.003,845417,695021,0,6,0,635,5780,3520,1953692749,1859050,0,957918,1119199,1146721,993256,0,254985,262893,253506,0,40473128274,47287434510,1189792124,19000214,30104782829,0,2970220,0,712520,0,0,0,1117301,0,2944662,166453,0,5.919,9.935,35.655,790000,1.815,3770000,6129997,0,0,0,0,973083,6.413,41113866824,0,0.13,33.446,2.175,5.986,0,86.836,0,27159561433,4489394963,0.404,1.539,0,0.574,0
"sum_kernel(double*, int)",2092388728,6240,20,1,1,512,1,1,18,0,0,,,0,25,25,0.308,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.711,0,0,0,2976,4763,Low (1),Idle,0,0,3699,0,Low (1),0.861,Low (1),Low (1),Low (1),Low (1),Low (1),0,15810276,229249011,79051383,3952569,0,0.32,0,0,90,0,79051383,0,0,1,1,9.3,6.209,0,0,20,1,0,6,0,0,0,0,0,0,0,16,248,4,58,0,329,329,23715415,0,63241106,980237154,0,21,3952569,0,20,0,1,0,0,0,20,0,62,21,0,0,10.94,0.542,0,43.645,1,0,0,0,0,0,16,3.6,63241106,0,37.814,0.025,0,2.573,0,15.577,0,19762845,988142,0.201,0.6,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2092398200,3182239,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.091,0,0,0,101954,162913,Low (1),Idle,0,0,131942,0,Low (1),0.034,Low (1),Low (1),Low (1),Low (1),Low (1),0,111387944,12609766,126007234,150734434,0,0.071,0,0,92.457,0,126007234,1,1,1.03,1.059,318.606,1.439,0,0,10666,11252,0,6,0,0,626,640,50318493,0,0,15018,14421,11086,1255,0,12595,12884,60285,0,150895196,144896765,51443827,320025,150734434,0,19999,0,15002,0,0,0,12541,0,44811,22848,0,92.078,2.1,3.583,20002,1.235,20002,140012,0,0,0,0,3197,0.096,32122249,0,0.415,0.247,0.009,0.211,0,7.842,0,50339845,75360937,0.045,0.598,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2095583799,4104797,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.882,0,0,0,17309107,23604228,Low (1),Idle,0,0,18884418,0,Low (1),3.262,Low (1),Low (2),Low (2),Low (1),Low (1),0,48655577,60251356,12296164175,38912010,0.003,0.916,0,0,99.685,0,12296561078,0,0,1.001,1.997,54083.569,18.311,0,0,1574371,1250,0,6,0,0,0,0,0,0,0,5011,1583113,6252,7742,0,4718768,4719750,46694,0,38997616,12320421922,0,0,38912010,0,0,0,5000,0,0,0,1580047,0,3149374,1574061,0,9.207,39.057,45.115,0,1.717,0,0,0,0,0,0,3320,0.436,25837574,0,0.018,0.341,0,0.846,0,68.375,0,97348122167,38912010,0.672,0.364,0,0,0
"likelihood_kernel(double*, double*, double*, double*, double*, int*, int*, double*, unsigned char*, double*, double*, int, int, int, int, int, int, int*, double*)",2099691924,758304,20,1,1,512,1,1,42,4096,0,,,17.107,14.965,57.533,0.398,99.843,96.238,3382380,8430000,11515060,5070940,810000,30575790,12910218,0,2.435,0,0,0,2411799,6177024,Low (1),Idle,0,0,5756624,0,Low (2),0.704,Low (1),Mid (5),Low (1),Mid (5),Low (1),0,48608581916,42405046200,47141091093,29957385764,0.137,1.025,0,0,73.311,0,47141091093,1,1.001,6.401,28.445,7536.872,23.893,0,1.003,845417,695021,0,6,0,628,5780,3522,1950972532,1687692,0,959180,1118632,1152072,1005042,0,254985,262815,253153,0,40470022361,47197670984,1188810598,19000214,30062866545,0,2970220,0,712520,0,0,0,1117291,0,2977534,166453,0,4.871,10.03,36.137,790000,1.832,3770000,6129997,0,0,0,0,987067,6.877,41646639382,0,0.134,33.274,2.142,6.141,0,86.91,0,27121745917,4483144171,0.407,1.561,0,0.574,0
"sum_kernel(double*, int)",2100453652,6016,20,1,1,512,1,1,18,0,0,,,0,25,25,0.303,96.873,96.871,10245,10243,51218,21,0,20504,21,0,0.716,0,0,0,2976,4760,Low (1),Idle,0,0,3698,0,Low (1),0.924,Low (1),Low (1),Low (1),Low (1),Low (1),0,15686274,215686274,78431372,3921568,0,0.322,0,0,90,0,78431372,0,0,1,1,9.3,6.245,0,0,20,1,0,6,0,0,0,0,0,0,0,8,236,4,55,0,329,329,23529411,0,31372549,925490196,0,21,3921568,0,20,0,1,0,0,0,20,0,54,21,0,0,11.777,0.533,0,39.509,1,0,0,0,0,0,15,3.775,58823529,0,40.695,0.025,0,2.763,0,15.477,0,19607843,980392,0.198,0.599,0,0,0
"normalize_weights_kernel(double*, int, double*, double*, double*, int*)",2100462964,3181726,20,1,1,512,1,1,30,16,0,,,49.467,49.996,39.95,0.253,38.1,36.038,75247,20003,344818,70083,20003,405090,180019,0,0.092,0,0,0,101954,162862,Low (1),Idle,0,0,131917,0,Low (1),0.032,Low (1),Low (1),Low (1),Low (1),Low (1),0,111559874,16277312,126008501,150735948,0,0.071,0,0,92.457,0,126008501,1,1,1.03,1.059,318.606,1.438,0,0,10666,11252,0,6,0,0,626,640,50318999,0,0,15010,13625,11103,1620,0,12595,12906,60286,0,150816330,136900233,51444344,320025,150735948,0,19999,0,15002,0,0,0,12541,0,44809,22848,0,92.056,2.098,3.583,20002,1.248,20002,140012,0,0,0,0,4031,0.1,40502373,0,0.422,0.247,0.009,0.213,0,7.844,0,50340350,75361694,0.044,0.597,0,0.009,0
"find_index_kernel(double*, double*, double*, double*, double*, double*, double*, int)",2103647954,4104669,20,1,1,512,1,1,13,0,0,,,0,100,791.695,0.29,99.374,81.319,50015240,0,100161440,50055000,0,200160480,50005000,0,0.881,0,0,0,17309107,23604244,Low (1),Idle,0,0,18884423,0,Low (1),3.253,Low (1),Low (2),Low (2),Low (1),Low (1),0,48644977,57670597,12293485335,38903533,0,0.915,0,0,99.684,0,12293485335,0,0,1,1.997,54090.959,18.305,0,0,1574371,1250,0,5,0,0,0,0,0,0,0,5005,1582246,6252,7412,0,4718768,4719755,38903,0,38942436,12310991925,0,0,38903533,0,0,0,5000,0,0,0,1579996,0,3149374,1574061,0,9.258,39.043,45.101,0,1.718,0,0,0,0,0,0,2394,0.426,18627011,0,0.018,0.339,0,0.844,0,68.411,0,97326913926,38903533,0.672,0.364,0,0,0
